FKBP5	3	NONE	intogen
SYK	3	NONE	intogen
MMP2	3	NONE	intogen
CDK4	1	Palbociclib	OncoKB
DLG1	3	NONE	intogen
MAP4K1	3	NONE	intogen
MTOR	2	Everolimus	OncoKB
PSMA6	3	NONE	intogen
CNTNAP1	3	NONE	intogen
PLXNA1	3	NONE	intogen
XPO1	3	NONE	intogen
GOLGA5	3	NONE	intogen
MACF1	3	NONE	intogen
STARD13	3	NONE	intogen
CAD	3	NONE	intogen
SOS1	3	NONE	intogen
KDR	3	NONE	intogen
RAC1	3	NONE	intogen
HRAS	3	NONE	intogen
TP53	3	NONE	intogen
NTRK1	3	NONE	intogen
CDK6	3	NONE	intogen
PTEN	3	LY3023414 + Enzalutamide;Olaparib;AZD8186;NONE	OncoKB;OncoKB;OncoKB;intogen
ROBO2	3	NONE	intogen
PRPF8	3	NONE	intogen
ARAF	2	Sorafenib;Sorafenib	OncoKB;OncoKB
PIK3CB	3	NONE	intogen
PPP2R1A	3	NONE	intogen
TRIO	3	NONE	intogen
APC	3	NONE	intogen
IDH2	2	AG-221	OncoKB
SVEP1	3	NONE	intogen
FUS	3	NONE	intogen
NUP98	3	NONE	intogen
RAF1	3	Sorafenib;NONE	OncoKB;intogen
WNK1	3	NONE	intogen
CDKN2A	3	Palbociclib + Letrozole;Palbociclib;NONE	OncoKB;OncoKB;intogen
CARM1	3	NONE	intogen
MYD88	3	NONE	intogen
PTCH1	2	Sonidegib;Sonidegib, Vismodegib	OncoKB;OncoKB
NEDD4L	3	NONE	intogen
IGF1R	3	NONE	intogen
CAPN7	3	NONE	intogen
PRKCZ	3	NONE	intogen
FGFR1	2	AZD4547;Dovitinib	OncoKB;OncoKB
MET	1	Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib;Crizotinib	OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB;OncoKB
BLM	3	NONE	intogen
LRP6	3	NONE	intogen
ATR	3	NONE	intogen
NCK1	3	NONE	intogen
GNA11	3	NONE	intogen
FAT2	3	NONE	intogen
NTRK3	3	NONE	intogen
CAT	3	NONE	intogen
ABL1	3	NONE	intogen
BRCA2	1	Olaparib	OncoKB
NF2	3	NONE	intogen
PCDH18	3	NONE	intogen
POM121	3	NONE	intogen
PIK3C2B	3	NONE	intogen
STK4	3	NONE	intogen
ACAD8	3	NONE	intogen
LPHN2	3	NONE	intogen
EPHB2	3	NONE	intogen
TSC2	1	Everolimus	OncoKB
FGFR2	2	Dovitinib	OncoKB
RHOT1	3	NONE	intogen
TAOK1	3	NONE	intogen
ITGA9	3	NONE	intogen
PIP5K1A	3	NONE	intogen
ATF1	3	NONE	intogen
MGMT	3	NONE	intogen
MAP3K11	3	NONE	intogen
NTN4	3	NONE	intogen
