VDR	1	Calcipotriol;CTAP-201;Seocalcitol;Inecalcitol oral;Tisocalcitate;Lexacalcitol;RO-23-7553;Ergocalciferol;Paricalcitol;Cholecalciferol;BXL-746;Doxercalciferol;Dihydrotachysterol;Dihydrotachysterol;Atocalcitol;S-06911;RO-26-9228;Calcidiol	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
MAGC2	2	CV-9201	TTD
TOP2B	1	Icrf-187	TTD
MMP2	2	Neovastat;Neovastat;Neovastat;RS-130830;Galarubicin;Prinomastat;Prinomastat;BMS 275291;Metastat;BAY-12-9566;Tanomastat;CIPEMASTAT;Marimastat;Marimastat;PG-116800;Batimastat	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
DHI2	2	RG-7234	TTD
CDK1	2	PHA-793887;SCH 727965;P-276;Ro 31-7453;RGB-286638;R547;Terameprocol;R-roscovitine;BAY 10-00394;P276-00;ZK 304709;AG-024322	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
AURKB	2	SU-6668;CYC116;AZD1152;AZD1152;MK-5108;SNS-314;GSK1070916A;BI-811283;AT9283;TAK-901;GSK1070916;R763;R763;PHA-739358;VX-689;VX-689;VX-680;AMG 900;PF-03814735;BI-847325;BI-831266	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
CDK4	1	Palbociclib	OncoKB
PUR2	2	PELITREXOL;AG2034;LOMETREXOL;LY309887	TTD;TTD;TTD;TTD
FUT3	2	Rebmab-100	TTD
MTOR	2	Everolimus	OncoKB
CD34	2	AMR-001	TTD
MPIP1	2	Vitamin K3	TTD
FPPS	1	Zoledronic acid;Ibandronate;Risedronate;Zoledronate;YM-175;Minodronate;Alendronate;NERIDRONIC ACID;Pamidronate;Incadronate	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
LAMB3	2	LAMB3-transduced autologous epidermal stem cells	TTD
F263	2	PFK-158	TTD
V1BR	1	ABT-436;SSR149415;SSR149415;Mozavaptan	TTD;TTD;TTD;TTD
TGFR1	2	TEW-7197;P-2745;LY2157299;LY-2382770;Metelimumab	TTD;TTD;TTD;TTD;TTD
KDM1A	2	GSK2879552	TTD
4EBP2	2	ISIS-EIF4E	TTD
WT1	2	WT1 peptide vaccine;WT-4869;DNA vaccine;GSK-2130579A;INNO-305;INNO-305;INNO-305;WT1-targeted autologous dendritic cell vaccine;Combined PR1/WT1 vaccine;FPI-01	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
PK3CA	2	CH-5132799;MLN1117;INK-1117;BYL719;BYL719;BYL719;Buparlisib;PWT-33597;LY3023414;BLY719	TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD;TTD
G3P	2	Omigapil	TTD
