ENSG	SYM	oncodriveROLE	Value
ENSG00000000971	CFH	Activating	0.918
ENSG00000009307	CSDE1	Loss of function	0.2515
ENSG00000012048	BRCA1	Loss of function	0.002
ENSG00000019991	HGF	No class	0.4235
ENSG00000029363	BCLAF1	Activating	0.9225
ENSG00000038382	TRIO	Activating	0.9655
ENSG00000039068	CDH1	Loss of function	0.0035
ENSG00000042429	MED17	Activating	0.8705
ENSG00000049759	NEDD4L	Activating	0.83
ENSG00000051382	PIK3CB	No class	0.59
ENSG00000055130	CUL1	Loss of function	0.2125
ENSG00000055609	MLL3	Loss of function	0.016
ENSG00000060339	CCAR1	Loss of function	0.0145
ENSG00000064012	CASP8	Loss of function	0.0125
ENSG00000065559	MAP2K4	Loss of function	0.028
ENSG00000066279	ASPM	Activating	0.956
ENSG00000066455	GOLGA5	No class	0.602
ENSG00000066468	FGFR2	Activating	0.998
ENSG00000067369	TP53BP1	Loss of function	0.121
ENSG00000067560	RHOA	Activating	0.736
ENSG00000067955	CBFB	Loss of function	0.003
ENSG00000068078	FGFR3	Activating	0.8175
ENSG00000070756	PABPC1	No class	0.363
ENSG00000072501	SMC1A	Activating	0.9065
ENSG00000079432	CIC	Loss of function	0.0775
ENSG00000079999	KEAP1	Activating	0.928
ENSG00000083799	CYLD	Loss of function	0.033
ENSG00000084774	CAD	Activating	0.8915
ENSG00000085224	ATRX	Loss of function	0
ENSG00000085276	MECOM	Activating	0.9575
ENSG00000085511	MAP3K4	Activating	0.701
ENSG00000085563	ABCB1	Activating	0.8765
ENSG00000085733	CTTN	Activating	0.869
ENSG00000086015	MAST2	Loss of function	0.2125
ENSG00000087245	MMP2	Activating	0.752
ENSG00000087460	GNAS	Activating	0.978
ENSG00000095015	MAP3K1	Loss of function	0.012
ENSG00000096384	HSP90AB1	Loss of function	0.0885
ENSG00000099949	LZTR1	Activating	0.979
ENSG00000100281	HMGXB4	Loss of function	0.042
ENSG00000100284	TOM1	Loss of function	0.2255
ENSG00000100345	MYH9	No class	0.693
ENSG00000100393	EP300	Loss of function	0.0115
ENSG00000100697	DICER1	Loss of function	0.0715
ENSG00000100888	CHD8	Loss of function	0.045
ENSG00000101745	ANKRD12	No class	0.6925
ENSG00000101972	STAG2	Loss of function	0.0765
ENSG00000102900	NUP93	Loss of function	0.0605
ENSG00000102974	CTCF	Loss of function	0.0045
ENSG00000104884	ERCC2	Activating	0.963
ENSG00000105568	PPP2R1A	Activating	0.9005
ENSG00000106462	EZH2	Loss of function	0.1755
ENSG00000106615	RHEB	Activating	0.895
ENSG00000107485	GATA3	Loss of function	0.015
ENSG00000108375	RNF43	No class	0.3155
ENSG00000108654	DDX5	Loss of function	0.1275
ENSG00000108946	PRKAR1A	Loss of function	0.065
ENSG00000109670	FBXW7	Loss of function	0.0375
ENSG00000109685	WHSC1	No class	0.675
ENSG00000109971	HSPA8	Activating	0.7485
ENSG00000110092	CCND1	Activating	0.9625
ENSG00000110713	NUP98	Activating	0.705
ENSG00000111276	CDKN1B	Loss of function	0.0535
ENSG00000111642	CHD4	Activating	0.9665
ENSG00000112851	ERBB2IP	Loss of function	0.1925
ENSG00000115414	FN1	Loss of function	0.0865
ENSG00000115524	SF3B1	Activating	0.9585
ENSG00000115904	SOS1	Activating	0.7415
ENSG00000116044	NFE2L2	Activating	0.986
ENSG00000116251	RPL22	Loss of function	0.101
ENSG00000117289	TXNIP	Activating	0.873
ENSG00000117713	ARID1A	Loss of function	0
ENSG00000118046	STK11	Loss of function	0.004
ENSG00000118058	MLL	Loss of function	5e-04
ENSG00000118513	MYB	Loss of function	0.267
ENSG00000119139	TJP2	Activating	0.7165
ENSG00000119772	DNMT3A	Loss of function	0.198
ENSG00000120868	APAF1	Loss of function	0.0075
ENSG00000121067	SPOP	No class	0.688
ENSG00000121741	ZMYM2	Loss of function	0.202
ENSG00000121879	PIK3CA	Activating	0.996
ENSG00000122025	FLT3	Activating	0.949
ENSG00000122406	RPL5	Loss of function	0.0635
ENSG00000124181	PLCG1	Activating	0.9735
ENSG00000124762	CDKN1A	Loss of function	0.0375
ENSG00000125166	GOT2	Activating	0.7585
ENSG00000125798	FOXA2	Loss of function	0.1485
ENSG00000125952	MAX	Activating	0.712
ENSG00000126012	KDM5C	Loss of function	0.1415
ENSG00000127616	SMARCA4	Loss of function	0.279
ENSG00000127914	AKAP9	No class	0.421
ENSG00000127955	GNAI1	Loss of function	0.08
ENSG00000129474	AJUBA	Loss of function	0.044
ENSG00000129514	FOXA1	Loss of function	0.158
ENSG00000129675	ARHGEF6	Loss of function	0.217
